"","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","home_win_prob","visitor_win_prob","tie_prob"
"171",2023-10-28,"Penn State",4,"Syracuse",2,0,1294.97568114265,1472.36273748768,1258.02432420683,1518.37108901419,0.323733058211526,0.596918068020636,0.079348873767838
"172",2023-10-28,"Robert Morris",3,"Mercyhurst",2,0,1530.67089458224,1359.06086919101,1474.10252329642,1419.79605881436,0.780985907966457,0.16148677900166,0.0575273130318833
"173",2023-10-28,"Assumption",1,"Stonehill",3,0,1397.31081067739,1168.20434177375,1416.69784162531,1154.63138979688,0.830149057061357,0.118913447754053,0.0509374951845893
"174",2023-10-28,"Saint Michael's",0,"Post",1,0,1156.87897834121,1065.73011254119,1179.03657758716,1048.50515560484,0.694091019909034,0.237808661038603,0.0681003190523634
"175",2023-10-28,"Long Island",4,"Franklin Pierce",1,0,1397.44970985409,1553.39719260523,1348.82928332115,1613.50592769059,0.350948917867465,0.566126892813382,0.0829241893191529
"176",2023-10-28,"Sacred Heart",1,"Saint Anselm",5,0,1332.66580323712,1149.75446316491,1365.16313131595,1126.01155487232,0.791484470744467,0.15234375812945,0.0561717711260827
"177",2023-10-28,"Boston College",3,"Merrimack",2,1,1472.72884990348,1634.21838629988,1447.82396062201,1665.06169857617,0.343838210755986,0.574175609174331,0.0819861800696831
"178",2023-10-28,"Northeastern",4,"Holy Cross",2,0,1434.6106495631,1684.80587032797,1407.35037070828,1719.85468590959,0.238828940888315,0.692935220900383,0.0682358382113018
"179",2023-10-28,"New Hampshire",1,"Vermont",2,1,1777.12181754208,1520.02787112202,1787.95717728787,1512.66883838752,0.850406453697408,0.101599192822314,0.0479943534802777
"180",2023-10-28,"Boston University",4,"Maine",3,0,1518.24260019356,1462.30797784236,1471.19203181925,1514.66587172323,0.649582620586345,0.277144164445743,0.0732732149679125
"181",2023-10-28,"Minnesota-Duluth",6,"Bemidji State",0,0,1199.87848296828,1782.38659816402,1193.4449070212,1794.88538156499,0.0356926474764444,0.930658365816354,0.0336489867072016
"182",2023-10-28,"Minnesota",5,"Ohio State",6,0,2001.03598729679,1909.07364189552,2023.12233723677,1891.911575357,0.695074691573052,0.236940392899835,0.067984915527113
"183",2023-10-28,"St. Cloud State",2,"Minnesota State",0,0,1476.23224257497,1754.87117076865,1452.31546411022,1786.12719268669,0.209536333088158,0.726164114064106,0.0642995528477361
"184",2023-10-28,"Wisconsin",3,"St. Thomas",0,0,1462.17787963899,1978.15397747665,1454.45253984265,1991.26014616285,0.0557625639060469,0.905397873984288,0.0388395621096656
"185",2023-10-28,"Princeton",0,"Clarkson",1,0,1892.59469866667,1581.79316649868,1901.05313477525,1576.43432932745,0.883222386395815,0.0739843877185747,0.0427932258856106
"186",2023-10-28,"Cornell",2,"Rensselaer",1,0,1528.60438055565,1742.04293510681,1508.31934755753,1767.66282412004,0.280056232026149,0.646290465357494,0.0736533026163574
"187",2023-10-28,"Dartmouth",0,"Yale",8,0,1756.96715451761,1352.55312475507,1771.87176820037,1344.56122107985,0.924556641560693,0.0404529809638439,0.0349903774754633
"188",2023-10-28,"Quinnipiac",1,"St. Lawrence",4,0,1781.56345922002,1837.35779186687,1852.39930599711,1779.29016341212,0.488697127002828,0.419140119133136,0.0921627538640355
"189",2023-10-28,"Colgate",4,"Union",0,0,1412.44080247763,1851.909253757,1398.53253927723,1872.94899519653,0.0892408402076029,0.86500081449705,0.0457583452953467
"190",2023-10-28,"Harvard",1,"Brown",2,0,1463.77820489055,1251.31943570623,1477.03420590261,1241.88555241948,0.816986953113868,0.130244688628641,0.0527683582574915
"191",2023-10-29,"Penn State",6,"Syracuse",2,0,1258.02432420683,1518.37108901419,1222.47438167709,1564.33280372685,0.228102293936637,0.705091715677229,0.0668059903861336
"192",2023-11-03,"Maine",4,"Boston College",3,0,1665.06169857617,1471.19203181925,1607.0242457582,1533.20499474446,0.801268124833871,0.143845773619205,0.0548861015469235
"193",2023-11-03,"Boston University",2,"Merrimack",1,1,1447.82396062201,1514.66587172323,1413.65045818259,1555.66620500243,0.471801171297366,0.433947243218393,0.0942515854842412
"194",2023-11-03,"Vermont",2,"Holy Cross",3,1,1407.35037070828,1787.95717728787,1470.75734109026,1728.30686544043,0.124600033383387,0.823535341388379,0.051864625228234
"195",2023-11-03,"Connecticut",3,"Northeastern",0,0,1719.85468590959,1628.00074859847,1623.57725494575,1733.69893186242,0.694943722653711,0.237055993083468,0.0680002842628209
"196",2023-11-03,"New Hampshire",3,"Providence",1,0,1464.43435147833,1512.66883838752,1407.33982468798,1580.12254885154,0.500208579541012,0.409033989897528,0.0907574305614597
"197",2023-11-03,"Clarkson",4,"Union",1,0,1398.53253927723,1901.05313477525,1390.11503406036,1915.00933110741,0.0607587089965706,0.899262257664531,0.0399790333388983
