"","...1","Date","Visitor","Visitor_Score","Home","Home_Score","OT","Division","Home_Prob","Visitor_Prob","Home_Elo_Before","Visitor_Elo_Before","Home_Elo_After","Visitor_Elo_After","Tie","Elo_Diff"
"42",42,2023-10-06,"Maine",7,"Stonehill",0,0,"Non-Conference",0.395605053720401,0.604394946279599,1293.86204926898,1382.48564660969,1236.1037114258,1440.24398445287,0,88.6235973407108
"43",43,2023-10-06,"Penn State",2,"Colgate",6,0,"Non-Conference",0.708023327001269,0.291976672998731,1740.39835836122,1601.51859400392,1776.01951246706,1565.89743989808,0,138.879764357295
"44",44,2023-10-06,"Rensselaer",1,"Bemidji State",1,1,"Non-Conference",0.195763627838048,0.804236372161952,1209.22102649133,1469.68170882851,1236.60229998591,1442.30043533393,1,260.460682337176
"45",45,2023-10-06,"Quinnipiac",3,"New Hampshire",2,1,"Non-Conference",0.317243427685765,0.682756572314235,1541.49890346436,1689.64820578765,1510.40904755115,1720.73806170086,0,148.149302323298
"46",46,2023-10-06,"Clarkson",4,"Vermont",2,0,"Non-Conference",0.296789605273114,0.703210394726886,1593.98545619057,1758.8400944241,1562.52575803162,1790.29979258305,0,164.854638233526
"47",47,2023-10-06,"St. Cloud State",0,"Mercyhurst",2,0,"Non-Conference",0.332517227862036,0.667482772137964,1465.80993477588,1601.86029867476,1536.56310862251,1531.10712482813,0,136.050363898875
"48",48,2023-10-06,"Providence",2,"St. Lawrence",7,0,"Non-Conference",0.596834448194685,0.403165551805315,1665.36655865386,1612.21837272028,1717.77808038856,1559.80685098559,0,53.1481859335845
"49",49,2023-10-06,"Holy Cross",2,"Union",3,1,"Non-Conference",0.465292262346232,0.534707737653768,1324.6405442808,1363.79679960731,1377.04190257087,1311.39544131724,0,39.1562553265139
"50",50,2023-10-06,"Lindenwood",3,"St. Thomas",4,0,"Non-Conference",0.692849927600678,0.307150072399322,1486.50588059465,1360.1904590362,1516.60658768978,1330.08975194107,0,126.315421558447
"51",51,2023-10-06,"Merrimack",2,"Syracuse",1,1,"Non-Conference",0.471091948428804,0.528908051571196,1383.08867375298,1418.19847242923,1336.92166280696,1464.36548337525,0,35.1097986762504
"52",52,2023-10-06,"Long Island",0,"Minnesota-Duluth",6,0,"Non-Conference",0.825446386658955,0.174553613341045,1701.13515905071,1446.23114807778,1725.22355769177,1422.14274943672,0,254.904010972923
"53",53,2023-10-06,"Boston College",2,"Wisconsin",12,0,"Non-Conference",0.898089301679239,0.101910698320761,1866.08370361452,1503.04380543034,1883.40852232905,1485.71898671581,0,363.039898184181
"54",54,2023-10-06,"Minnesota",3,"RIT",0,0,"Non-Conference",0.122923704075858,0.877076295924142,1422.02165992657,1778.38235408104,1408.00835766192,1792.39565634569,0,356.360694154469
"55",55,2023-10-06,"Minnesota State",9,"Sacred Heart",0,0,"Non-Conference",0.440605349155642,0.559394650844358,1425.98766470588,1482.45508221473,1354.60959814267,1553.83314877795,0,56.4674175088492
"56",56,2023-10-06,"Northeastern",4,"Boston University",1,0,"Hockey East",0.124279844654389,0.875720155345611,1444.17815400676,1798.36401148711,1430.01025171616,1812.53191377771,0,354.185857480344
"57",57,2023-10-07,"Maine",7,"Stonehill",1,0,"Non-Conference",0.25184828302081,0.74815171697919,1236.1037114258,1440.24398445287,1201.34864836893,1474.99904750974,0,204.140273027068
"58",58,2023-10-07,"St. Cloud State",1,"Mercyhurst",0,0,"Non-Conference",0.529404557901419,0.470595442098581,1536.56310862251,1531.10712482813,1484.68146194817,1582.98877150247,0,5.45598379437365
"59",59,2023-10-07,"Providence",0,"St. Lawrence",2,0,"Non-Conference",0.730212787674883,0.269787212325117,1717.77808038856,1559.80685098559,1746.37552489502,1531.20940647913,0,157.971229402966
"60",60,2023-10-07,"Penn State",2,"Colgate",3,0,"Non-Conference",0.785145301774037,0.214854698225963,1776.01951246706,1565.89743989808,1797.07527289321,1544.84167947193,0,210.122072568985
"61",61,2023-10-07,"Quinnipiac",4,"New Hampshire",1,0,"Non-Conference",0.245195265559839,0.754804734440161,1510.40904755115,1720.73806170086,1482.45678727733,1748.69032197468,0,210.329014149708
"62",62,2023-10-07,"Saint Anselm",1,"Robert Morris",6,0,"Non-Conference",0.723921090861621,0.276078909138379,1458.11160217818,1305.64840243347,1494.00186036617,1269.75814424548,0,152.463199744711
"63",63,2023-10-07,"Merrimack",4,"Syracuse",0,0,"Non-Conference",0.343603046250876,0.656396953749124,1336.92166280696,1464.36548337525,1295.00209116435,1506.28505501786,0,127.443820568296
"64",64,2023-10-07,"Rensselaer",3,"Bemidji State",1,0,"Non-Conference",0.250162331251787,0.749837668748213,1236.60229998591,1442.30043533393,1210.08509287322,1468.81764244662,0,205.698135348024
"65",65,2023-10-07,"Long Island",0,"Minnesota-Duluth",4,0,"Non-Conference",0.861883230949335,0.138116769050665,1725.22355769177,1422.14274943672,1742.07380351595,1405.29250361254,0,303.080808255052
"66",66,2023-10-07,"Lindenwood",2,"St. Thomas",7,0,"Non-Conference",0.761337103896572,0.238662896103428,1516.60658768978,1330.08975194107,1547.63276418323,1299.06357544762,0,186.516835748715
"67",67,2023-10-07,"Holy Cross",3,"Union",4,1,"Non-Conference",0.614019147384144,0.385980852615856,1377.04190257087,1311.39544131724,1414.86802612722,1273.56931776089,0,65.6464612536247
"68",68,2023-10-07,"Minnesota",5,"RIT",1,0,"Non-Conference",0.106560643127955,0.893439356872045,1408.00835766192,1792.39565634569,1395.00795920031,1805.3960548073,0,384.387298683764
